timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,wallet_exposure
1667001663000.0,60,1667001663000.0,0.0,-0.00325572,299.99674428,299.98114427999997,390.0,0.08348,390.0,0.08348,long_ientry,0.10852517775863912
1667005774000.0,4171,1667005774000.0,0.039780000000000273,-0.00032955,300.03619473,300.43282473,-39.0,0.0845,351.0,0.08348,long_nclose,0.0976598174309208
1667005774000.0,4171,1667005774000.0,0.043679999999999844,-0.00032994000000000003,300.07954479,300.43210479,-39.0,0.0846,312.0,0.08348,long_nclose,0.08679618605202565
1667005774000.0,4171,1667005774000.0,0.043679999999999844,-0.00032994000000000003,300.12289485,300.43138485000003,-39.0,0.0846,273.0,0.08348,long_nclose,0.07593569298133804
1667005775000.0,4172,1667005775000.0,0.0,-0.0009899370000000002,300.12190491300004,300.41479491300004,117.0,0.08461,390.0,0.08381899999999999,long_ientry,0.10892044021070728
1667005994000.0,4391,1667005994000.0,0.038259000000000376,-0.00033072,300.159833193,300.546284193,-39.0,0.0848,351.0,0.08381899999999999,long_nclose,0.09801600929423128
1667005994000.0,4391,1667005994000.0,0.04215900000000049,-0.00033111,300.20166108300003,300.545173083,-39.0,0.0849,312.0,0.08381899999999999,long_nclose,0.08711320219100852
1667005995000.0,4392,1667005995000.0,0.0,-0.000653884,300.20100719900006,300.53284919900005,77.0,0.08492,389.0,0.08403693573264781,long_ientry,0.10889493111636998
1667006016000.0,4413,1667006016000.0,0.04039644215938301,-0.00032338,300.2410802611594,300.642295819,-38.0,0.0851,351.0,0.08403693573264781,long_nclose,0.0982442656298131
1667006016000.0,4413,1667006016000.0,0.04039644215938301,-0.00032338,300.2811533233188,300.63893243900003,-38.0,0.0851,313.0,0.08403693573264781,long_nclose,0.08759644284434058
1667006017000.0,4414,1667006017000.0,0.04535950642673531,-0.00033228,300.3261805497455,300.653080159,-39.0,0.0852,274.0,0.08403693573264781,long_nclose,0.07667037335405227
1667006017000.0,4414,1667006017000.0,0.04535950642673531,-0.00033228,300.37120777617224,300.651577879,-39.0,0.0852,235.0,0.08403693573264781,long_nclose,0.06574757961451608
1667006018000.0,4415,1667006018000.0,0.0,-0.0013040190000000002,300.36990375717227,300.62311386000005,153.0,0.08523,388.0,0.08450739664219648,long_ientry,0.10916163532708559
1667006209000.0,4606,1667006209000.0,0.037718927596534196,-0.00032490000000000004,300.4072977847688,300.80020896,-38.0,0.0855,350.0,0.08450739664219648,long_nclose,0.09845828993794972
1667006209000.0,4606,1667006209000.0,0.04151892759653378,-0.00032528,300.4484914323653,300.79874368,-38.0,0.0856,312.0,0.08450739664219648,long_nclose,0.08775649904802629
1667006211000.0,4608,1667006211000.0,0.0,-0.000633662,300.4478577703653,300.786530018,74.0,0.08563,386.0,0.08472261075742304,long_ientry,0.10884726552905032
1667006239000.0,4636,1667006239000.0,0.03714079121792424,-0.00032565999999999997,300.4846729015833,300.8456843580001,-38.0,0.0857,348.0,0.08472261075742304,long_nclose,0.09811970859904671
1667006240000.0,4637,1667006240000.0,0.0,-0.000317312,300.4843555895833,300.8376670460001,37.0,0.08576,385.0,0.08482230790541095,long_ientry,0.10867982953557567
1667006311000.0,4708,1667006311000.0,0.03715229959438379,-0.00032604000000000004,300.52118184917765,300.8673810060001,-38.0,0.0858,347.0,0.08482230790541095,long_nclose,0.09794098593006761
1667006314000.0,4711,1667006314000.0,0.0,-0.000326116,300.52085573317765,300.8362548900001,38.0,0.08582,385.0,0.08492078141085091,long_ientry,0.10879278499128842
1667006328000.0,4725,1667006328000.0,0.03721030638766559,-0.00032642000000000006,300.5577396195653,300.90099847000005,-38.0,0.0859,347.0,0.08492078141085091,long_nclose,0.09804276272127989
