,timestamp,bkr_price_long,bkr_price_short,psize_long,pprice_long,psize_short,pprice_short,price,closest_bkr_long,closest_bkr_short,balance_long,balance_short,equity_long,equity_short,wallet_exposure_long,wallet_exposure_short
0,1667001604000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08381,1.0,1.0,300.0,300.0,300.0,300.0,0.0,0.0
1,1667001664000.0,0.0,150.083431656,390.0,0.08348,-2.0,0.08344,0.0835,1.0,1.0,299.99674428,299.999983312,300.00454427999995,299.999863312,0.10852517775863912,0.0005562666976099288
2,1667001724000.0,0.0,60.083448989599994,390.0,0.08348,-5.0,0.083408,0.08363,1.0,1.0,299.99674428,300.000204948,300.05524427999995,299.999094948,0.10852517775863912,0.001390132383650494
3,1667001784000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08404,1.0,1.0,299.99674428,299.999827618,300.21514427999995,299.988167618,0.10852517775863912,0.013967808025995612
4,1667001844000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.0841,1.0,1.0,299.99674428,299.999827618,300.23854428,299.985167618,0.10852517775863912,0.013967808025995612
5,1667001904000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08401,1.0,1.0,299.99674428,299.999827618,300.20344428,299.989667618,0.10852517775863912,0.013967808025995612
6,1667001964000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08377,1.0,1.0,299.99674428,299.999827618,300.10984427999995,300.001667618,0.10852517775863912,0.013967808025995612
7,1667002024000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08392,1.0,1.0,299.99674428,299.999827618,300.16834428,299.994167618,0.10852517775863912,0.013967808025995612
8,1667002084000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08397,1.0,1.0,299.99674428,299.999827618,300.18784428,299.991667618,0.10852517775863912,0.013967808025995612
9,1667002144000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.0839,1.0,1.0,299.99674428,299.999827618,300.16054427999995,299.995167618,0.10852517775863912,0.013967808025995612
10,1667002204000.0,0.0,6.0838033523599995,390.0,0.08348,-50.0,0.0838068,0.08377,1.0,1.0,299.99674428,299.999827618,300.10984427999995,300.001667618,0.10852517775863912,0.013967808025995612
11,1667002264000.0,0.0,18.83420520987501,390.0,0.08348,-16.0,0.0838068,0.08347,1.0,1.0,299.99674428,300.0063745580001,299.99284428,300.0117633580001,0.10852517775863912,0.0044696010275633745
12,1667002324000.0,0.0,150.08908322900007,390.0,0.08348,-2.0,0.0838068,0.08337,1.0,1.0,299.99674428,300.01055285800015,299.95384428,300.01142645800013,0.10852517775863912,0.0005586923473299762
13,1667002384000.0,0.0,60.085697612000025,390.0,0.08348,-5.0,0.083436,0.08338,1.0,1.0,299.99674428,300.01130806000015,299.95774428,300.0115880600001,0.10852517775863912,0.0013905475853482393
14,1667002444000.0,0.0,75.08629493250004,390.0,0.08348,-4.0,0.083436,0.08344,1.0,1.0,299.99674428,300.01143573000013,299.98114427999997,300.0114197300001,0.10852517775863912,0.0011124375948800764
15,1667002504000.0,0.0,60.085734276000025,390.0,0.08348,-5.0,0.0834488,0.08341,1.0,1.0,299.99674428,300.01142738000016,299.96944427999995,300.0116213800002,0.10852517775863912,0.0013907603575096853
16,1667002564000.0,0.0,150.08921659900003,390.0,0.08348,-2.0,0.08291,0.08286,1.0,1.0,299.99674428,300.01261319800005,299.75494427999996,300.01271319800003,0.10852517775863912,0.0005527100951937756
17,1667002624000.0,0.0,18.833994789875003,390.0,0.08348,-16.0,0.08321375,0.08324,1.0,1.0,299.99674428,300.0124966380001,299.90314428,300.01207663800005,0.10852517775863912,0.004437881804658667
18,1667002684000.0,0.0,6.083652654760001,390.0,0.08348,-50.0,0.08340840000000001,0.08337,1.0,1.0,299.99674428,300.0122127380001,299.95384428,300.01413273800006,0.10852517775863912,0.013900834109183474
19,1667002744000.0,0.0,6.083652654760001,390.0,0.08348,-50.0,0.08340840000000001,0.0835,1.0,1.0,299.99674428,300.0122127380001,300.00454427999995,300.0076327380001,0.10852517775863912,0.013900834109183474
20,1667002804000.0,0.0,6.083652654760001,390.0,0.08348,-50.0,0.08340840000000001,0.0833,1.0,1.0,299.99674428,300.0122127380001,299.92654428,300.0176327380001,0.10852517775863912,0.013900834109183474
21,1667002864000.0,0.0,12.084044984320007,390.0,0.08348,-25.0,0.08340840000000001,0.08323,1.0,1.0,299.99674428,300.0159146080002,299.89924427999995,300.02037460800017,0.10852517775863912,0.006950331294006615
22,1667002924000.0,0.0,12.084044984320007,390.0,0.08348,-25.0,0.08340840000000001,0.08342,1.0,1.0,299.99674428,300.0159146080002,299.97334428,300.01562460800017,0.10852517775863912,0.006950331294006615
23,1667002984000.0,0.0,13.720509073545463,390.0,0.08348,-22.0,0.08340840000000001,0.08335,1.0,1.0,299.99674428,300.0162148180002,299.94604427999997,300.0174996180002,0.10852517775863912,0.006116285418483674
24,1667003044000.0,0.0,13.720509073545463,390.0,0.08348,-22.0,0.08340840000000001,0.08349,1.0,1.0,299.99674428,300.0162148180002,300.00064427999996,300.0144196180002,0.10852517775863912,0.006116285418483674
25,1667003104000.0,0.0,13.720509073545463,390.0,0.08348,-22.0,0.08340840000000001,0.08342,1.0,1.0,299.99674428,300.0162148180002,299.97334428,300.0159596180002,0.10852517775863912,0.006116285418483674
26,1667003164000.0,0.0,6.083835310760004,390.0,0.08348,-50.0,0.083515696,0.08366,1.0,1.0,299.99674428,300.0159807380002,300.06694428,300.0087655380002,0.10852517775863912,0.013918541238130426
27,1667003224000.0,0.0,6.083835310760004,390.0,0.08348,-50.0,0.083515696,0.08363,1.0,1.0,299.99674428,300.0159807380002,300.05524427999995,300.0102655380002,0.10852517775863912,0.013918541238130426
28,1667003284000.0,0.0,6.083835310760004,390.0,0.08348,-50.0,0.083515696,0.08356,1.0,1.0,299.99674428,300.0159807380002,300.02794428,300.0137655380002,0.10852517775863912,0.013918541238130426
